----------------Q1/Q2.-----------------
total_vertexes = 1000
> Initialization...
> Huffman Coding...
> Huffman Coding Result : 
451 : 100001110011, length = 12
452 : 01111110110110, length = 14
453 : 0100110000, length = 10
454 : 0110111011, length = 10
455 : 111100100, length = 9
456 : 00000010000, length = 11
457 : 100101100, length = 9
458 : 110111010100, length = 12
459 : 0100110110, length = 10
460 : 0011010111, length = 10
461 : 101111101, length = 9
462 : 1010001110, length = 10
463 : 0111000110, length = 10
464 : 00110100111, length = 11
465 : 01100010011, length = 11
466 : 111101000, length = 9
467 : 1011000011, length = 10
468 : 10110110100, length = 11
469 : 011000011101, length = 12
470 : 010000100110000, length = 15
471 : 0100111100110010100, length = 19
472 : 0110001111, length = 10
473 : 0100001001101, length = 13
474 : 011100010000, length = 12
475 : 000110001, length = 9
476 : 0100100011011, length = 13
477 : 111000001, length = 9
478 : 0100100001, length = 10
479 : 001001101110, length = 12
480 : 110100001, length = 9
481 : 0111101000, length = 10
482 : 0010111011, length = 10
483 : 0110111110, length = 10
484 : 0110100001, length = 10
485 : 11100000011100, length = 14
486 : 00111010011, length = 11
487 : 0111100111100, length = 13
488 : 01101101101, length = 11
489 : 01100101100, length = 11
490 : 01010100101010, length = 14
491 : 1111011100, length = 10
492 : 0110000010, length = 10
493 : 101010101, length = 9
494 : 100111010, length = 9
495 : 0101110001, length = 10
496 : 0011000011, length = 10
497 : 01100000111, length = 11
498 : 0100011110, length = 10
499 : 110100101, length = 9
500 : 11101000111, length = 11
501 : 1011111001, length = 10
502 : 0111111111, length = 10
503 : 0111100111101, length = 13
504 : 101110111, length = 9
505 : 0011101100, length = 10
506 : 100001010, length = 9
507 : 101111010, length = 9
508 : 100100111, length = 9
509 : 100110011, length = 9
510 : 111111110, length = 9
511 : 00111101001, length = 11
512 : 011111101100, length = 12
513 : 010000110000, length = 12
514 : 001100110, length = 9
515 : 001001010, length = 9
516 : 101000010, length = 9
517 : 0111010011, length = 10
518 : 0010010011, length = 10
519 : 100011010, length = 9
520 : 0110101010, length = 10
521 : 000111001, length = 9
522 : 100100001, length = 9
523 : 0010011010, length = 10
524 : 100111100, length = 9
525 : 00100000111, length = 11
526 : 101001110, length = 9
527 : 100100010, length = 9
528 : 00101100111, length = 11
529 : 10101100000, length = 11
530 : 01001011110, length = 11
531 : 0010100010, length = 10
532 : 01111110101, length = 11
533 : 10111100001, length = 11
534 : 0110110011, length = 10
535 : 100010010, length = 9
536 : 111110011, length = 9
537 : 0100100100, length = 10
538 : 0111001111001010, length = 16
539 : 000110011, length = 9
540 : 0110011101, length = 10
541 : 0110001101, length = 10
542 : 110101000, length = 9
543 : 00100000110, length = 11
544 : 1111101001, length = 10
545 : 1100010001, length = 10
546 : 1001010000, length = 10
547 : 0100101110, length = 10
548 : 0110101111, length = 10
549 : 0111010100, length = 10
550 : 01000010010, length = 11
551 : 00110111110, length = 11
552 : 1111001110, length = 10
553 : 01100101110, length = 11
554 : 1100000010001000, length = 16
555 : 0110110101, length = 10
556 : 0010011011111, length = 13
557 : 1001000001, length = 10
558 : 000011001, length = 9
559 : 01010111101, length = 11
560 : 010000110001, length = 12
561 : 110010000, length = 9
562 : 000101000, length = 9
563 : 1011000000, length = 10
564 : 01010010100, length = 11
565 : 0000111000, length = 10
566 : 01101111001, length = 11
567 : 00011001011, length = 11
568 : 1000111100, length = 10
569 : 00111010010, length = 11
570 : 10000011101, length = 11
571 : 00111110010, length = 11
572 : 01011001101, length = 11
573 : 0110101100011, length = 13
574 : 000001101110, length = 12
575 : 111101001101, length = 12
576 : 110010011, length = 9
577 : 110111111, length = 9
578 : 0100100101, length = 10
579 : 0011001010, length = 10
580 : 0110100000, length = 10
581 : 000000111, length = 9
582 : 110011110, length = 9
583 : 100010110, length = 9
584 : 01110000001, length = 11
585 : 110111110, length = 9
586 : 101110001, length = 9
587 : 111101101, length = 9
588 : 0011100111111, length = 13
589 : 11000000101, length = 11
590 : 0101000110, length = 10
591 : 110101101, length = 9
592 : 1011000001, length = 10
593 : 01100111110, length = 11
594 : 00110101000, length = 11
595 : 0011100111110, length = 13
596 : 01000010011001, length = 14
597 : 000100110, length = 9
598 : 0100111100110000, length = 16
599 : 00111101000, length = 11
600 : 010011001010, length = 12
601 : 01111110000, length = 11
602 : 1110000001111, length = 13
603 : 0100010000, length = 10
604 : 110001110, length = 9
605 : 11111101000, length = 11
606 : 000010000, length = 9
607 : 11001011110, length = 11
608 : 1011000010, length = 10
609 : 000101011, length = 9
610 : 100011111, length = 9
611 : 01011000110, length = 11
612 : 0110110111, length = 10
613 : 100000001, length = 9
614 : 1010000111, length = 10
615 : 0011010001, length = 10
616 : 100111111, length = 9
617 : 1000010010, length = 10
618 : 000100000, length = 9
619 : 1100000010000, length = 13
620 : 011010110000, length = 12
621 : 010000100110001, length = 15
622 : 1111001111, length = 10
623 : 0101000000, length = 10
624 : 01101001111, length = 11
625 : 110101011, length = 9
626 : 100101101, length = 9
627 : 0101010100, length = 10
628 : 0111001001, length = 10
629 : 111110010, length = 9
630 : 110010111110, length = 12
631 : 100010000, length = 9
632 : 110111000, length = 9
633 : 001111100111, length = 12
634 : 0110100110, length = 10
635 : 1011011011001, length = 13
636 : 0011011010, length = 10
637 : 011110110110, length = 12
638 : 01110001001, length = 11
639 : 01111011010, length = 11
640 : 0100000101, length = 10
641 : 00111011101, length = 11
642 : 010011110010, length = 12
643 : 00101100110, length = 11
644 : 0101010010100, length = 13
645 : 111101001110, length = 12
646 : 10100001101, length = 11
647 : 0101110010, length = 10
648 : 01001110110, length = 11
649 : 100111011, length = 9
650 : 11101000110, length = 11
651 : 01000000010, length = 11
652 : 100011101, length = 9
653 : 0011010010, length = 10
654 : 01010110010, length = 11
655 : 0100010110, length = 10
656 : 00111010100, length = 11
657 : 0100100010, length = 10
658 : 1101101011, length = 10
659 : 101001100, length = 9
660 : 001001100, length = 9
661 : 01011100111, length = 11
662 : 110001001, length = 9
663 : 1000011001, length = 10
664 : 101111001, length = 9
665 : 0011100010, length = 10
666 : 1110000001100, length = 13
667 : 01001010100, length = 11
668 : 01011000111, length = 11
669 : 101010011, length = 9
670 : 0110011011101, length = 13
671 : 010011101110, length = 12
672 : 0110110100, length = 10
673 : 0111110000, length = 10
674 : 1101000101110, length = 13
675 : 01010011001, length = 11
676 : 01100111111, length = 11
677 : 1001010001, length = 10
678 : 100001101, length = 9
679 : 001000100, length = 9
680 : 000001101101, length = 12
681 : 0011010110, length = 10
682 : 0110111111, length = 10
683 : 111001010, length = 9
684 : 110000111, length = 9
685 : 111000011, length = 9
686 : 0100001110, length = 10
687 : 001100101111, length = 12
688 : 0101110111101, length = 13
689 : 100000110, length = 9
690 : 0110010010, length = 10
691 : 0101011000, length = 10
692 : 1110010111, length = 10
693 : 101110101, length = 9
694 : 01101011101, length = 11
695 : 101101110, length = 9
696 : 001001110, length = 9
697 : 0111010111, length = 10
698 : 101101000, length = 9
699 : 100000101, length = 9
700 : 00110100110100, length = 14
701 : 001011011, length = 9
702 : 0111001011, length = 10
703 : 01001010101, length = 11
704 : 0110000111111, length = 13
705 : 111000100, length = 9
706 : 0110110010, length = 10
707 : 0100110001, length = 10
708 : 111101100, length = 9
709 : 000100101101, length = 12
710 : 101001111101, length = 12
711 : 10100111111, length = 11
712 : 01100001110000, length = 14
713 : 0110100100, length = 10
714 : 01010001111, length = 11
715 : 0001011101, length = 10
716 : 0100100011010, length = 13
717 : 111101010, length = 9
718 : 101001010, length = 9
719 : 001010100, length = 9
720 : 1111000110, length = 10
721 : 0101110000, length = 10
722 : 01101011100, length = 11
723 : 000010011, length = 9
724 : 1000000111, length = 10
725 : 1111111011010, length = 13
726 : 101100010, length = 9
727 : 111110001, length = 9
728 : 111001110, length = 9
729 : 01000111111, length = 11
730 : 00111011010, length = 11
731 : 0100011000000, length = 13
732 : 010110111101, length = 12
733 : 001100001011, length = 12
734 : 0001111100, length = 10
735 : 1011010011, length = 10
736 : 0101111111, length = 10
737 : 101110000, length = 9
738 : 0111000011, length = 10
739 : 1100001100, length = 10
740 : 1010000010, length = 10
741 : 1100100010, length = 10
742 : 001101100111, length = 12
743 : 1111011101, length = 10
744 : 111100110, length = 9
745 : 01011000010, length = 11
746 : 1111011111, length = 10
747 : 011110010001, length = 12
748 : 0101010001, length = 10
749 : 100010100, length = 9
750 : 0110111010, length = 10
751 : 0110011000, length = 10
752 : 010011110011001011, length = 18
753 : 101110011, length = 9
754 : 0001011001, length = 10
755 : 101010010, length = 9
756 : 001101001101010, length = 15
